timestamp,nation,unit_id,action_type,from_q,from_r,to_q,to_r,reason
2025-08-24T21:46:24.354146,Polska,P_Kompania__2_Batalion_Strzelc_w_20250703213012,move_partial,20,-9,18,-9,"Partial path to target (15, -8) (MP limited)"
2025-08-24T21:46:24.359837,Polska,TURN_END,turn_summary,,,,,Turn completed: 13/16 units moved
2025-08-24T21:46:24.377502,Polska,TURN_START,turn_begin,,,,,AI Commander turn started for player 3
2025-08-24T21:46:24.388254,Polska,P_Batalion__3_Pu_k_Piechoty,move_partial,14,15,13,15,"Partial path to target [13, 15] (MP limited)"
2025-08-24T21:46:24.402449,Polska,AL_Batalion__3_Pu_k_Artylerii,move_partial,14,18,15,15,"Partial path to target (14, 15) (MP limited)"
2025-08-24T21:46:24.412832,Polska,Z_Pluton__3_Kompania_Zaopatrzeniowa,move_partial,15,17,14,17,"Partial path to target (14, 15) (MP limited)"
2025-08-24T21:46:24.420587,Polska,TS_Kompania__3_Sam_Pancerny_Einheit,move_full,14,14,14,15,"Full path to target (14, 15)"
2025-08-24T21:46:24.435644,Polska,P_Kompania__3_Batalion_Strzelc_w,move_partial,18,14,16,14,"Partial path to target (14, 14) (MP limited)"
2025-08-24T21:46:24.441957,Polska,K_Batalion__3_Oddzia_Jazdy,move_partial,17,18,15,18,"Partial path to target (14, 14) (MP limited)"
2025-08-24T21:46:24.468067,Polska,TL_Batalion__3_Kompania_Czo_g_w_Lekkich,move_partial,18,17,15,16,"Partial path to target (14, 14) (MP limited)"
2025-08-24T21:46:24.485851,Polska,P_Pluton__3_Pu_k_Piechoty,move_partial,20,16,17,16,"Partial path to target (14, 14) (MP limited)"
2025-08-24T21:46:24.485851,Polska,TURN_END,turn_summary,,,,,Turn completed: 8/9 units moved
2025-08-24T21:46:24.536656,Niemcy,TURN_START,turn_begin,,,,,AI Commander turn started for player 5
2025-08-24T21:46:24.555977,Niemcy,P_Batalion__5_Sch_tzen_Kompanie,move_failed,42,-14,42,-13,Failed: Brak ścieżki do celu.
2025-08-24T21:46:24.560567,Niemcy,TŚ_Pluton__5_Panzer_Brigade,move_partial,40,-14,41,-13,"Partial path to target (42, -13) (MP limited)"
2025-08-24T21:46:24.563803,Niemcy,K_Batalion__5_Kawaleria_Einheit,move_failed,44,-14,42,-13,Failed: Brak ścieżki do celu.
2025-08-24T21:46:24.577653,Niemcy,P_Kompania__5_Sch_tzen_Kompanie,move_partial,43,-15,45,-16,"Partial path to target (42, -13) (MP limited)"
2025-08-24T21:46:24.584614,Niemcy,TL_Kompania__5_Panzer_Zug,move_full,43,-14,43,-15,"Full path to target (43, -15)"
2025-08-24T21:46:24.588134,Niemcy,P_Pluton__5_Infanterie_Regiment,move_partial,44,-15,43,-14,"Partial path to target [43, -14] (MP limited)"
2025-08-24T21:46:24.589143,Niemcy,P_Kompania__5_Grenadier_Bataillon,move_partial,47,-11,47,-13,"Partial path to target (44, -15) (MP limited)"
2025-08-24T21:46:24.595057,Niemcy,TS_Batalion__5_Sam_Pancerny_Einheit,move_partial,45,-13,44,-13,"Partial path to target (44, -15) (MP limited)"
2025-08-24T21:46:24.603386,Niemcy,AL_Kompania__5_Artillerie_Abteilung,move_partial,50,-14,48,-15,"Partial path to target (44, -15) (MP limited)"
2025-08-24T21:46:24.604430,Niemcy,TURN_END,turn_summary,,,,,Turn completed: 7/9 units moved
2025-08-24T21:46:24.612803,Niemcy,TURN_START,turn_begin,,,,,AI Commander turn started for player 6
2025-08-24T21:46:24.621564,Niemcy,P_Pluton__6_Sch_tzen_Kompanie_20250703213844,move_partial,39,1,39,0,"Partial path to target [39, 0] (MP limited)"
2025-08-24T21:46:24.622673,Niemcy,P_Kompania__6_Grenadier_Bataillon,move_full,37,1,39,-1,"Full path to target (39, -1)"
2025-08-24T21:46:24.633742,Niemcy,P_Kompania__6_Sch_tzen_Kompanie,move_partial,40,1,39,1,"Partial path to target (38, 0) (MP limited)"
2025-08-24T21:46:24.638337,Niemcy,TL_Batalion__6_Panzer_Abteilung,move_full,38,1,38,0,"Full path to target (38, 0)"
2025-08-24T21:46:24.643121,Niemcy,P_Pluton__6_Sch_tzen_Kompanie_20250703213838,move_partial,36,6,37,2,"Partial path to target (38, 1) (MP limited)"
2025-08-24T21:46:24.654292,Niemcy,P_Batalion__6_Grenadier_Bataillon,move_partial,36,7,36,3,"Partial path to target (38, 1) (MP limited)"
2025-08-24T21:46:24.656462,Niemcy,TL_Pluton__6_Panzer_Zug,move_full,37,6,38,1,"Full path to target (38, 1)"
2025-08-24T21:46:24.662345,Niemcy,P_Kompania__6_Sch_tzen_Kompanie_20250703213834,move_partial,37,8,37,4,"Partial path to target [39, 0] (MP limited)"
2025-08-24T21:46:24.832101,Niemcy,P_Batalion__6_Sch_tzen_Kompanie,move_partial,39,4,39,2,"Partial path to target [39, 0] (MP limited)"
2025-08-24T21:46:24.973247,Niemcy,AL_Pluton__6_Artillerie_Abteilung,move_partial,39,6,39,5,"Partial path to target [39, 0] (MP limited)"
2025-08-24T21:46:24.980388,Niemcy,AL_Kompania__6_Artillerie_Abteilung,move_partial,41,2,40,1,"Partial path to target [39, 0] (MP limited)"
2025-08-24T21:46:24.991411,Niemcy,P_Pluton__6_Sch_tzen_Kompanie_20250703213835,move_partial,44,-5,41,-3,"Partial path to target [39, 0] (MP limited)"
2025-08-24T21:46:24.996545,Niemcy,AL_Batalion__6_Artillerie_Abteilung,move_partial,47,0,46,0,"Partial path to target [39, 0] (MP limited)"
2025-08-24T21:46:24.997542,Niemcy,TURN_END,turn_summary,,,,,Turn completed: 13/17 units moved
2025-08-24T21:46:25.046563,Polska,TURN_START,turn_begin,,,,,AI Commander turn started for player 2
2025-08-24T21:46:25.420550,Polska,TL_Kompania__2_Pluton_Tankietek,move_partial,17,-5,16,-5,"Partial path to target (15, -8) (MP limited)"
2025-08-24T21:46:25.568613,Polska,TURN_END,turn_summary,,,,,Turn completed: 1/16 units moved
2025-08-24T21:46:25.568613,Polska,TURN_START,turn_begin,,,,,AI Commander turn started for player 3
2025-08-24T21:46:25.583356,Polska,P_Batalion__3_Pu_k_Piechoty,move_full,13,15,14,14,"Full path to target (14, 14)"
