timestamp,nation,action,econ_before,econ_after,allocated_total,units_bought,rule,metrics_json
2025-08-24T12:47:16,Polska,COMBO,454,454,0,0,strategic_combo_ROZWÓJ,"{""econ"": 454, ""own_units"": 25, ""low_fuel_ratio"": 0.08, ""strategy_name"": ""ROZWÓJ"", ""budget_ratios"": {""reserve"": 0.2, ""allocate"": 0.4, ""purchase"": 0.4}, ""game_phase"": 0.1, ""vp_status"": 0, ""phase_name"": ""WCZESNA"", ""rule"": ""strategic_combo_ROZWÓJ"", ""allocate_budget"": 181, ""purchase_budget"": 181}"
2025-08-24T12:47:16,Niemcy,COMBO,280,280,0,0,strategic_combo_ROZWÓJ,"{""econ"": 280, ""own_units"": 26, ""low_fuel_ratio"": 0.077, ""strategy_name"": ""ROZWÓJ"", ""budget_ratios"": {""reserve"": 0.2, ""allocate"": 0.4, ""purchase"": 0.4}, ""game_phase"": 0.1, ""vp_status"": 0, ""phase_name"": ""WCZESNA"", ""rule"": ""strategic_combo_ROZWÓJ"", ""allocate_budget"": 112, ""purchase_budget"": 112}"
2025-08-24T12:47:16,Polska,COMBO,530,530,0,0,strategic_combo_ROZWÓJ,"{""econ"": 530, ""own_units"": 25, ""low_fuel_ratio"": 0.08, ""strategy_name"": ""ROZWÓJ"", ""budget_ratios"": {""reserve"": 0.2, ""allocate"": 0.4, ""purchase"": 0.4}, ""game_phase"": 0.1, ""vp_status"": 0, ""phase_name"": ""WCZESNA"", ""rule"": ""strategic_combo_ROZWÓJ"", ""allocate_budget"": 212, ""purchase_budget"": 212}"
2025-08-24T12:47:17,Niemcy,COMBO,290,290,0,0,strategic_combo_ROZWÓJ,"{""econ"": 290, ""own_units"": 26, ""low_fuel_ratio"": 0.077, ""strategy_name"": ""ROZWÓJ"", ""budget_ratios"": {""reserve"": 0.2, ""allocate"": 0.4, ""purchase"": 0.4}, ""game_phase"": 0.1, ""vp_status"": 0, ""phase_name"": ""WCZESNA"", ""rule"": ""strategic_combo_ROZWÓJ"", ""allocate_budget"": 116, ""purchase_budget"": 116}"
2025-08-24T12:47:17,Polska,COMBO,568,568,0,0,strategic_combo_ROZWÓJ,"{""econ"": 568, ""own_units"": 25, ""low_fuel_ratio"": 0.08, ""strategy_name"": ""ROZWÓJ"", ""budget_ratios"": {""reserve"": 0.2, ""allocate"": 0.4, ""purchase"": 0.4}, ""game_phase"": 0.1, ""vp_status"": 0, ""phase_name"": ""WCZESNA"", ""rule"": ""strategic_combo_ROZWÓJ"", ""allocate_budget"": 227, ""purchase_budget"": 227}"
2025-08-24T12:47:17,Niemcy,COMBO,368,368,0,0,strategic_combo_ROZWÓJ,"{""econ"": 368, ""own_units"": 26, ""low_fuel_ratio"": 0.077, ""strategy_name"": ""ROZWÓJ"", ""budget_ratios"": {""reserve"": 0.2, ""allocate"": 0.4, ""purchase"": 0.4}, ""game_phase"": 0.1, ""vp_status"": 0, ""phase_name"": ""WCZESNA"", ""rule"": ""strategic_combo_ROZWÓJ"", ""allocate_budget"": 147, ""purchase_budget"": 147}"
2025-08-24T12:47:17,Polska,COMBO,600,600,0,0,strategic_combo_ROZWÓJ,"{""econ"": 600, ""own_units"": 25, ""low_fuel_ratio"": 0.08, ""strategy_name"": ""ROZWÓJ"", ""budget_ratios"": {""reserve"": 0.2, ""allocate"": 0.4, ""purchase"": 0.4}, ""game_phase"": 0.1, ""vp_status"": 0, ""phase_name"": ""WCZESNA"", ""rule"": ""strategic_combo_ROZWÓJ"", ""allocate_budget"": 240, ""purchase_budget"": 240}"
2025-08-24T12:47:18,Niemcy,COMBO,369,369,0,0,strategic_combo_ROZWÓJ,"{""econ"": 369, ""own_units"": 26, ""low_fuel_ratio"": 0.077, ""strategy_name"": ""ROZWÓJ"", ""budget_ratios"": {""reserve"": 0.2, ""allocate"": 0.4, ""purchase"": 0.4}, ""game_phase"": 0.1, ""vp_status"": 0, ""phase_name"": ""WCZESNA"", ""rule"": ""strategic_combo_ROZWÓJ"", ""allocate_budget"": 147, ""purchase_budget"": 147}"
2025-08-24T12:48:07,Polska,COMBO,83,83,0,0,strategic_combo_ROZWÓJ,"{""econ"": 83, ""own_units"": 25, ""low_fuel_ratio"": 0.0, ""strategy_name"": ""ROZWÓJ"", ""budget_ratios"": {""reserve"": 0.2, ""allocate"": 0.4, ""purchase"": 0.4}, ""game_phase"": 0.1, ""vp_status"": 0, ""phase_name"": ""WCZESNA"", ""rule"": ""strategic_combo_ROZWÓJ"", ""allocate_budget"": 33, ""purchase_budget"": 33}"
2025-08-24T12:48:08,Niemcy,COMBO,94,94,0,0,strategic_combo_ROZWÓJ,"{""econ"": 94, ""own_units"": 26, ""low_fuel_ratio"": 0.0, ""strategy_name"": ""ROZWÓJ"", ""budget_ratios"": {""reserve"": 0.2, ""allocate"": 0.4, ""purchase"": 0.4}, ""game_phase"": 0.1, ""vp_status"": 0, ""phase_name"": ""WCZESNA"", ""rule"": ""strategic_combo_ROZWÓJ"", ""allocate_budget"": 37, ""purchase_budget"": 37}"
